TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19,3
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,2
705.6,Debit,Phoenix,Branch,40.0,Doctor,124.0,3.0,14804.7,0
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,2
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,2
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,1
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,2
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,1
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,1
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.45,3
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,3
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,1
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,2
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,3
492.06,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,3
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45,1
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,2
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,2
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,2
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,3
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,3
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,1
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.37,3
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,2
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,1
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,3
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,2
47.38,Credit,Seattle,Online,25.0,Student,61.0,1.0,459.37,3
488.15,Debit,Louisville,Branch,43.0,Engineer,168.0,1.0,7071.09,2
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,2
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,2
270.72,Credit,Washington,Online,26.0,Engineer,53.0,1.0,6263.96,1
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.33,2
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,2
251.18,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,2
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,3
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,2
1176.28,Credit,Kansas City,ATM,54.0,Engineer,174.0,5.0,323.69,0
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,2
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.73,2
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.58,2
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,2
671.73,Debit,Washington,Branch,58.0,Engineer,54.0,1.0,5211.88,2
255.04,Debit,Seattle,ATM,45.0,Engineer,152.0,1.0,6217.86,2
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,3
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.66,3
362.04,Credit,Philadelphia,Branch,58.0,Doctor,198.0,2.0,8421.88,1
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,2
35.99,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,2
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,1
242.62,Credit,San Francisco,Online,22.0,Student,234.0,1.0,483.02,3
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.08,3
43.46,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,3
1036.21,Debit,Omaha,Online,25.0,Student,126.0,1.0,477.3,3
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,2
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,2
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,3
20.54,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,2
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,2
34.74,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,2
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.17,2
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.0,1.0,7943.47,1
744.41,Credit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,1
61.43,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,3
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,2
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,3
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,2
241.11,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,2
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,1
1221.65,Debit,Denver,Online,27.0,Student,153.0,1.0,243.92,3
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.32,3
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,2
711.3,Debit,San Jose,Branch,21.0,Student,51.0,1.0,955.4,3
12.23,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.88,2
350.94,Debit,Colorado Springs,ATM,20.0,Student,64.0,1.0,221.56,3
301.85,Debit,Columbus,Online,54.0,Engineer,25.0,1.0,6586.19,2
29.34,Debit,Louisville,Online,65.0,Retired,30.0,1.0,3944.82,2
231.71,Debit,Raleigh,Branch,27.0,Student,148.0,1.0,1127.98,3
179.43,Debit,Oklahoma City,ATM,58.0,Retired,244.0,1.0,2626.63,2
36.71,Debit,Jacksonville,Branch,48.0,Doctor,55.0,1.0,6459.38,2
138.12,Credit,Los Angeles,Branch,53.0,Doctor,281.0,1.0,1649.69,1
233.24,Debit,Louisville,ATM,33.0,Engineer,72.0,1.0,6939.23,2
436.64,Debit,Los Angeles,Branch,31.0,Doctor,111.0,1.0,14365.18,2
870.43,Debit,Los Angeles,Branch,29.0,Doctor,55.0,1.0,10115.18,2
354.4,Debit,Chicago,ATM,74.0,Retired,128.0,1.0,7358.65,2
22.63,Debit,Kansas City,Online,53.0,Engineer,112.0,1.0,4438.03,2
182.19,Debit,Mesa,Branch,26.0,Student,53.0,1.0,1176.1,3
126.81,Debit,Philadelphia,Branch,26.0,Engineer,290.0,1.0,5427.98,2
288.17,Debit,Virginia Beach,Online,37.0,Engineer,50.0,1.0,3653.11,2
118.77,Debit,Atlanta,Branch,55.0,Engineer,123.0,1.0,2104.82,2
651.82,Debit,Indianapolis,ATM,21.0,Student,166.0,1.0,1802.77,3
66.65,Debit,Detroit,ATM,37.0,Engineer,33.0,1.0,3559.96,2
98.53,Debit,Denver,Branch,69.0,Retired,166.0,1.0,3564.8,2
138.95,Debit,Washington,Online,71.0,Retired,30.0,1.0,6752.92,2
33.89,Debit,Nashville,Branch,26.0,Student,177.0,1.0,1444.75,3
23.71,Debit,Atlanta,Branch,58.0,Doctor,164.0,1.0,10788.89,2
1830.0,Debit,San Antonio,Online,55.0,Engineer,238.0,1.0,2235.7,2
26.06,Debit,San Diego,ATM,65.0,Doctor,283.0,1.0,12893.63,2
17.07,Debit,Los Angeles,Branch,27.0,Engineer,44.0,1.0,2798.15,2
703.89,Debit,San Antonio,Online,46.0,Engineer,62.0,1.0,3583.67,2
1271.9,Debit,Houston,ATM,47.0,Engineer,155.0,1.0,2120.8,2
26.55,Debit,Houston,ATM,77.0,Retired,228.0,1.0,3085.38,2
147.4,Debit,San Jose,Branch,42.0,Engineer,259.0,1.0,6797.71,2
202.11,Debit,Memphis,ATM,27.0,Student,18.0,1.0,746.47,3
308.42,Debit,Nashville,Branch,75.0,Retired,39.0,1.0,5427.81,2
11.18,Debit,Miami,ATM,53.0,Engineer,144.0,1.0,7467.3,2
294.15,Debit,Fresno,Online,38.0,Engineer,136.0,1.0,6362.16,2
139.45,Debit,Boston,Online,27.0,Student,31.0,1.0,1305.76,3
432.63,Debit,Colorado Springs,ATM,29.0,Doctor,137.0,1.0,13648.36,2
131.43,Debit,Charlotte,Online,43.0,Doctor,65.0,1.0,1337.5,2
516.72,Debit,Mesa,ATM,42.0,Engineer,128.0,1.0,2015.69,2
374.5,Credit,San Francisco,Branch,26.0,Student,178.0,1.0,1671.51,3
166.13,Debit,Omaha,ATM,68.0,Doctor,227.0,1.0,11822.53,2
626.9,Debit,Chicago,ATM,23.0,Student,146.0,1.0,587.11,3
466.85,Debit,Austin,Branch,56.0,Retired,165.0,1.0,5422.53,2
788.84,Debit,Phoenix,Online,58.0,Retired,231.0,1.0,1913.73,2
525.28,Debit,Colorado Springs,ATM,69.0,Retired,134.0,1.0,4693.6,2
632.69,Debit,Denver,ATM,80.0,Retired,76.0,1.0,4363.74,2
124.35,Debit,Oklahoma City,ATM,72.0,Retired,90.0,1.0,3319.76,2
43.85,Debit,Fresno,ATM,62.0,Retired,122.0,1.0,4356.98,2
283.81,Debit,San Diego,Branch,28.0,Student,29.0,1.0,1519.35,3
168.53,Debit,San Francisco,ATM,71.0,Retired,112.0,1.0,5962.58,2
218.59,Credit,Denver,Branch,40.0,Engineer,123.0,1.0,6699.23,1
132.84,Debit,Oklahoma City,ATM,21.0,Student,143.0,1.0,822.73,3
157.37,Credit,Dallas,Branch,42.0,Doctor,289.0,1.0,13964.31,1
144.77,Debit,Albuquerque,Online,20.0,Student,159.0,1.0,867.32,3
643.22,Debit,Atlanta,ATM,64.0,Doctor,93.0,1.0,1035.86,2
1392.54,Debit,El Paso,Branch,41.0,Doctor,297.0,1.0,13347.69,2
208.07,Debit,Oklahoma City,Online,32.0,Doctor,36.0,1.0,8478.9,2
295.5,Debit,Mesa,ATM,59.0,Retired,36.0,1.0,6280.66,2
30.23,Debit,Austin,ATM,44.0,Doctor,99.0,1.0,481.13,2
180.24,Debit,Phoenix,Branch,58.0,Engineer,144.0,1.0,8431.23,2
13.71,Credit,Denver,Online,38.0,Engineer,148.0,1.0,8342.79,1
96.54,Debit,New York,Branch,58.0,Retired,95.0,1.0,7182.22,2
101.04,Debit,San Antonio,ATM,27.0,Student,160.0,1.0,1695.57,3
39.66,Debit,Virginia Beach,Branch,52.0,Engineer,169.0,1.0,8497.34,2
99.36,Debit,Seattle,ATM,40.0,Doctor,46.0,1.0,1272.12,2
123.85,Debit,Las Vegas,Online,56.0,Engineer,244.0,1.0,3959.62,2
426.93,Debit,Omaha,ATM,19.0,Student,248.0,1.0,476.19,3
133.73,Credit,San Jose,Online,25.0,Student,123.0,1.0,1872.22,3
222.39,Debit,Virginia Beach,Online,49.0,Engineer,73.0,1.0,3117.39,2
215.94,Credit,Virginia Beach,Online,22.0,Student,140.0,1.0,1841.69,3
6.3,Debit,Columbus,Branch,80.0,Retired,283.0,5.0,7697.68,0
131.46,Debit,Charlotte,Branch,67.0,Retired,258.0,1.0,6642.33,2
202.86,Credit,Memphis,Branch,61.0,Doctor,149.0,1.0,7642.25,1
268.39,Debit,Miami,ATM,26.0,Student,171.0,1.0,136.74,3
194.85,Debit,Jacksonville,Online,23.0,Student,130.0,4.0,319.84,0
353.82,Debit,Milwaukee,ATM,42.0,Doctor,143.0,1.0,705.75,2
364.42,Debit,Colorado Springs,ATM,51.0,Engineer,146.0,1.0,8119.73,2
